House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Goldfinch Avenue,Catherine,Nash-Chadwick,15,Daughter,NA,Female,Student,None,NA
2,Goldfinch Avenue,Kenneth,Williams,33,Head,Single,Male,Research scientist (medical),None,None
2,Goldfinch Avenue,Nathan,Williams,9,Son,NA,Male,Student,None,NA
3,Goldfinch Avenue,Abbie,Pearce,56,Head,Divorced,Female,Data scientist,None,None
3,Goldfinch Avenue,Kelly,Pearce,24,Daughter,Divorced,Female,Theme park manager,None,None
4,Goldfinch Avenue,Glen,Chapman,75,Head,Widowed,Male,"Retired Civil engineer, consulting",None,None
5,Goldfinch Avenue,Sophie,Scott,69,Head,Married,Female,"Retired Engineer, land",None,Christian
5,Goldfinch Avenue,Elliott,Scott,71,Husband,Married,Male,Retired Health promotion specialist,None,None
6,Goldfinch Avenue,Annette,Jones,34,Head,Married,Female,"Teacher, secondary school",None,None
6,Goldfinch Avenue,Malcolm,Jones,36,Husband,Married,Male,"Secretary, company",None,None
6,Goldfinch Avenue,Samuel,Jones,6,Son,NA,Male,Student, ,NA
7,Goldfinch Avenue,Joanne,Murray,51,Head,Divorced,Female,Unemployed,None,Catholic
7,Goldfinch Avenue,Reece,Murray,20,Son,Single,Male,University Student,None,None
7,Goldfinch Avenue,Rachel,Murray,14,Daughter,NA,Female,Student,None,NA
7,Goldfinch Avenue,Tracy,Murray,12,Daughter,NA,Female,Student,None,NA
7,Goldfinch Avenue,Natalie,Murray,8,Daughter,NA,Female,Student,None,NA
8,Goldfinch Avenue,Abbie,Watkins,53,Head,Widowed,Female,"Psychologist, sport and exercise",None,Methodist
9,Goldfinch Avenue,Bruce,Patel-Evans,39,Head,Married,Male,Wellsite geologist,None,None
9,Goldfinch Avenue,Bethany,Patel-Evans,36,Wife,Married,Female,Chief Strategy Officer,None,None
9,Goldfinch Avenue,Hannah,Patel-Evans,11,Daughter,NA,Female,Student,None,NA
10,Goldfinch Avenue,Sally,Daly,70,Head,Widowed,Female,Retired Scientific laboratory technician,None,Catholic
10,Goldfinch Avenue,Trevor,Daly,38,Son,Single,Male,Dispensing optician,None,Catholic
10,Goldfinch Avenue,Sara,Daly,33,Daughter,Single,Female,Financial risk analyst,None,Catholic
10,Goldfinch Avenue,Kathleen,Daly,31,Daughter,Single,Female,Financial controller,None,None
11,Goldfinch Avenue,Carolyn,Bailey,51,Head,Divorced,Female,Claims inspector/assessor,None,None
11,Goldfinch Avenue,William,Bailey,24,Son,Single,Male,Insurance underwriter,None,None
11,Goldfinch Avenue,Abigail,Bailey,21,Daughter,Divorced,Female,University Student,None,None
11,Goldfinch Avenue,Duncan,Bailey,19,Son,Single,Male,University Student,None,None
11,Goldfinch Avenue,Lewis,Bailey,16,Son,NA,Male,Student,None,NA
11,Goldfinch Avenue,Wendy,Bailey,15,Daughter,NA,Female,Student,None,NA
12,Goldfinch Avenue,Ellie,Spencer,40,Head,Married,Female,"Designer, industrial/product",None,None
12,Goldfinch Avenue,Daniel,Spencer,42,Husband,Married,Male,Seismic interpreter,None,None
13,Goldfinch Avenue,Thomas,Murphy,48,Head,Single,Male,Early years teacher,None,Christian
13,Goldfinch Avenue,Joel,Murphy,12,Son,NA,Male,Student,None,NA
14,Goldfinch Avenue,Raymond,Martin,42,Head,Single,Male,IT sales professional,None,Christian
14,Goldfinch Avenue,Darren,Hale,24,None,Single,Male,Retail banker,None,None
15,Goldfinch Avenue,Laura,Booth,41,Head,Single,Female,"Exhibitions officer, museum/gallery",None,None
15,Goldfinch Avenue,Linda,Booth,11,Daughter,NA,Female,Student,None,NA
16,Goldfinch Avenue,Alexandra,Jones,42,Head,Divorced,Female,Banker,None,None
16,Goldfinch Avenue,Stacey,Jones,12,Daughter,NA,female,Student,None,NA
16,Goldfinch Avenue,Antony,Jones,11,Son,NA,Male,Student,None,NA
16,Goldfinch Avenue,Kenneth,Jones,7,Son,NA,Male,Student,None,NA
16,Goldfinch Avenue,Ellie,Jones,7,Daughter,NA,Female,Student,None,NA
16,Goldfinch Avenue,Catherine,Jones,7,Daughter,NA,Female,Student,None,NA
17,Goldfinch Avenue,Elizabeth,Davies,46,Head,Married,Female,"Administrator, arts",None,Catholic
17,Goldfinch Avenue,Julian,Walters,49,Husband,Married,Male,"Geologist, wellsite",None,None
17,Goldfinch Avenue,Rebecca,Davies,4,Daughter,NA,Female,Child,None,NA
17,Goldfinch Avenue,Katie,Butcher,48,Lodger,Single,Female,Research scientist (life sciences),None,None
18,Goldfinch Avenue,Deborah,Fisher,53,Head,Married,Female,Purchasing manager,None,Christian
18,Goldfinch Avenue,Ian,Fisher,55,Husband,Married,Male,Primary school teacher,None,Christian
18,Goldfinch Avenue,Jonathan,Fisher,19,Son,Divorced,Male,University Student,None,Christian
18,Goldfinch Avenue,Hayley,Fisher,17,Daughter,NA,Female,Student,None,NA
19,Goldfinch Avenue,Danielle,Griffin,44,Head,Single,Female,Psychiatrist,None,Christian
19,Goldfinch Avenue,Ben,Ward,50,Partner,Single,Male,Unemployed,None,Christian
20,Goldfinch Avenue,Elliott,Stevens,26,Head,Single,Male,Advice worker,None,None
20,Goldfinch Avenue,Bradley,Ellis,40,None,Single,Male,Sports therapist,None,None
20,Goldfinch Avenue,Philip,Jones,64,None,Single,Male,International aid/development worker,None,Catholic
21,Goldfinch Avenue,Chelsea,Ford,50,Head,Married,Female,Professor Emeritus,None,None
21,Goldfinch Avenue,Douglas,Ford,50,Husband,Married,Male,Geochemist,None,None
21,Goldfinch Avenue,Edward,Ford,17,Son,NA,Male,Student,None,NA
22,Goldfinch Avenue,Charlene,Middleton,72,Head,Married,Female,Retired Sport and exercise psychologist,None,None
22,Goldfinch Avenue,Garry,Middleton,74,Husband,Married,Male,Retired Horticultural consultant,None,None
23,Goldfinch Avenue,Allan,Edwards,61,Head,Married,Male,"Therapist, sports",None,None
23,Goldfinch Avenue,Marie,Edwards,57,Wife,Married,Female,Multimedia specialist,None,None
24,Goldfinch Avenue,Sharon,Jones,34,Head,Single,Female,Commissioning editor,None,None
24,Goldfinch Avenue,Shannon,Jones,11,Daughter,NA,Female,Student,None,NA
25,Goldfinch Avenue,Carol,Houghton,55,Head,Divorced,Female,Unemployed,None,Methodist
25,Goldfinch Avenue,Janet,Houghton,27,Daughter,Single,Female,Financial manager,None,Methodist
25,Goldfinch Avenue,Guy,Houghton,25,Son,Single,Male,Medical laboratory scientific officer,None,None
26,Goldfinch Avenue,Anne,Andrews,82,Head,Married,Female,Retired Intelligence analyst,None,None
26,Goldfinch Avenue,Harry,Andrews,84,Husband,Married,Male,"Retired Investment banker, operational",None,None
27,Goldfinch Avenue,Marie,Johnson,37,Head,Single,female,Learning disability nurse,None,Catholic
27,Goldfinch Avenue,Charlene,Johnson,7,Daughter,NA,Female,Student,None,NA
27,Goldfinch Avenue,Dylan,Johnson,3,Son,NA,Male,Child,None,NA
27,Goldfinch Avenue,Annette,Johnson,1,Daughter,NA,Female,Child,None,NA
28,Goldfinch Avenue,Alison,Campbell,19,Head,Married,Female,University Student,None,Catholic
28,Goldfinch Avenue,Leslie,Campbell,22,Husband,Married,Male,University Student,None,Catholic
29,Goldfinch Avenue,Gordon,Watson,55,Head,Married,Male,Health service manager,None,Christian
29,Goldfinch Avenue,Hilary,Watson,50,Wife,Married,female,Financial trader,None,None
29,Goldfinch Avenue,Reece,Smith-Watson,57,Cousin,Single,Male,Unemployed,None,Christian
30,Goldfinch Avenue,Ruth,Bennett,65,Head,Single,Female,Clinical cytogeneticist,None,Catholic
31,Goldfinch Avenue,Marion,Buckley,35,Head,Married,Female,Police officer,None,Christian
31,Goldfinch Avenue,Terence,Buckley,42,Husband,Married,Male,"Programmer, applications",None,Christian
31,Goldfinch Avenue,Keith,Buckley,18,Son,Single,Male,Student,None,None
31,Goldfinch Avenue,William,Buckley,17,Son,NA,Male,Student,None,NA
31,Goldfinch Avenue,Carly,Buckley,17,Daughter,NA,Female,Student,None,NA
32,Goldfinch Avenue,Clive,Morley,70,Head,Married,Male,Retired Herbalist,None,Christian
32,Goldfinch Avenue,Leanne,Morley,69,Wife,Married,Female,Retired Insurance broker,None,None
33,Goldfinch Avenue,Alexandra,Hughes,20,Head,Single,Female,University Student,None,Sikh
33,Goldfinch Avenue,Clive,Cook,18,None,Single,Male,Student,None,NA
33,Goldfinch Avenue,Ryan,Stewart,24,None,Single,Male,Farm manager,None,None
33,Goldfinch Avenue,Scott,Roberts,60,None,Single,Male,Unemployed,None,Christian
34,Goldfinch Avenue,Paige,Carter,45,Head,Married,Female,Personal assistant,None,None
34,Goldfinch Avenue,Kenneth,Carter,46,Husband,Married,Male,"Accountant, chartered public finance",None,None
35,Goldfinch Avenue,Andrea,Knight,59,Head,Married,Female,Science writer,None,Christian
35,Goldfinch Avenue,Elliot,Knight,63,Husband,Married,Male,"Therapist, speech and language",None,Christian
35,Goldfinch Avenue,Rebecca,Knight,22,Daughter,Single,Female,University Student,None,None
35,Goldfinch Avenue,Josh,Knight,20,Son,Single,Male,University Student,None,None
35,Goldfinch Avenue,Ross,Knight,16,Son,NA,Male,Student,None,NA
36,Goldfinch Avenue,Susan,Webb,51,Head,Married,Female,Hospital doctor,None,None
36,Goldfinch Avenue,Roy,Webb,53,Husband,Married,Male,Barrister,None,None
36,Goldfinch Avenue,Laura,Webb,12,Daughter,NA,Female,Student,None,NA
36,Goldfinch Avenue,Rachael,Webb,12,Daughter,NA,Female,Student,None,NA
36,Goldfinch Avenue,Georgia,Webb,9,Daughter,NA,Female,Student,None,NA
37,Goldfinch Avenue,Heather,Robertson,37,Head,Married,Female,Unemployed,None,Catholic
37,Goldfinch Avenue,Brett,Robertson,42,Husband,Married,Male,Historic buildings inspector/conservation officer,None,Catholic
37,Goldfinch Avenue,Diane,Walker,14,Daughter,NA,Female,Student,None,NA
38,Goldfinch Avenue,Paige,Murphy,41,Head,Married,Female,Social worker,None,Christian
38,Goldfinch Avenue,Harry,Murphy,45,Husband,Married,Male,Adult guidance worker,None,None
38,Goldfinch Avenue,Wayne,Shah-Murphy,8,Son,NA,Male,Student,None,NA
38,Goldfinch Avenue,Mary,Shah-Murphy,7,Daughter,NA,Female,Student,None,NA
38,Goldfinch Avenue,Charles,Shah-Murphy,6,Son,NA,Male,Student,None,NA
39,Goldfinch Avenue,Daniel,Webster,86,Head,Widowed,Male,"Retired Engineer, automotive",None,Methodist
40,Goldfinch Avenue,Patricia,Cooper,50,Head,Single,Female,Automotive engineer,None,None
40,Goldfinch Avenue,Suzanne,Steele,52,Partner,Single,Female,"Sales professional, IT",None,None
40,Goldfinch Avenue,Sally,Cooper,12,Daughter,NA,Female,Student,None,NA
40,Goldfinch Avenue,Joanna,Cooper,12,Daughter,NA,Female,Student,None,NA
40,Goldfinch Avenue,Jonathan,Cooper,11,Son,NA,Male,Student,None,NA
41,Goldfinch Avenue,Lorraine,James,38,Head,Divorced,Female,Unemployed,Deaf,None
41,Goldfinch Avenue,Bernard,James,10,Son,NA,Male,Student,None,NA
41,Goldfinch Avenue,Dorothy,James,10,Daughter,NA,Female,Student,None,NA
42,Goldfinch Avenue,Sam,Fowler,41,Head,Single,Male,Paramedic,None,Catholic
42,Goldfinch Avenue,Jessica,Fowler,18,Daughter,Single,Female,Student,None,Catholic
43,Goldfinch Avenue,Julia,Thompson,65,Head,Widowed,Female,Solicitor,None,Methodist
44,Goldfinch Avenue,Clare,Rowe,56,Head,Single,Female,"Scientist, physiological",None,Catholic
44,Goldfinch Avenue,Clive,Harvey,8,Grandson,NA,Male,Student,None,NA
44,Goldfinch Avenue,Frances,Harvey,1,Granddaughter,NA,Female,Child,None,NA
45,Goldfinch Avenue,Frank,Wallace,41,Head,Single,Male,Product manager,None,Catholic
45,Goldfinch Avenue,Rosie,Warner,32,Partner,Single,Female,"Horticulturist, commercial",None,Catholic
45,Goldfinch Avenue,Valerie,Wallace,6,Daughter,NA,Female,Student,None,NA
45,Goldfinch Avenue,Joe,Wallace,3,Son,NA,Male,Child,None,NA
45,Goldfinch Avenue,Kim,Wallace,2,Daughter,NA,Female,Child,None,NA
46,Goldfinch Avenue,Terence,Mitchell,41,Head,Married,Male,Energy manager,None,Catholic
46,Goldfinch Avenue,Grace,Mitchell,41,Wife,Married,Female,Social researcher,None,Catholic
47,Goldfinch Avenue,Terence,Hardy,50,Head,Single,Male,Ambulance person,None,Catholic
48,Goldfinch Avenue,Kelly,Robinson,42,Head,Single,Female,Ship broker,None,Catholic
49,Goldfinch Avenue,Paige,Murray,41,Head,Married,Female,Advertising account planner,None,Christian
49,Goldfinch Avenue,Leon,Murray,40,Husband,Married,Male,Broadcast journalist,None,Christian
49,Goldfinch Avenue,Reece,Murray,14,Son,NA,Male,Student,None,NA
49,Goldfinch Avenue,Edward,Murray,6,Son,NA,Male,Student,None,NA
50,Goldfinch Avenue,Teresa,Ellis,37,Head,Married,Female,Call centre manager,None,Christian
50,Goldfinch Avenue,Jordan,Ellis,40,Husband,Married,Male,Transport planner,None,Christian
50,Goldfinch Avenue,Stanley,Ellis,8,Son,NA,Male,Student,None,NA
1,Drummer Road,Catherine,Spencer,57,Head,Single,Female,Advertising art director,None,None
2,Drummer Road,Dominic,Stewart,28,Head,Divorced,Male,Music therapist,None,Muslim
3,Drummer Road,Sean,Chandler,49,Head,Single,Male,Commercial/residential surveyor,None,None
3,Drummer Road,Elizabeth,Cartwright,42,Partner,Single,Female,Personal assistant,None,None
4,Drummer Road,Teresa,Williams,72,Head,Widowed,Female,Retired Personal assistant,None,None
5,Drummer Road,Hilary,Bailey,24,Head,Single,Female,Ship broker,None,None
5,Drummer Road,Janet,Bailey,1,Daughter,NA,Female,Child,None,NA
5,Drummer Road,William,Harrison-Bailey,1,Son,NA,Male,Child,None,NA
6,Drummer Road,Dominic,Watson,45,Head,Married,Male,Administrator,None,None
6,Drummer Road,Beth,Watson,45,Wife,Married,Female,"Engineer, land",None,None
6,Drummer Road,Ashleigh,Watson,15,Daughter,NA,Female,Student,None,NA
7,Drummer Road,Sheila,Morley,19,Head,Single,Female,University Student,None,Christian
7,Drummer Road,Steven,Daly,22,None,Single,Male,University Student,None,Catholic
7,Drummer Road,Katherine,Bradley,20,None,Single,Female,University Student,None,None
8,Drummer Road,Toby,Thomson,35,Head,Single,Male,"Education officer, environmental",None,Catholic
9,Drummer Road,Marion,Carter,56,Head,Divorced,Female,Learning mentor,None,Christian
10,Drummer Road,Vanessa,Black,38,Head,Divorced,Female,Unemployed,None,Catholic
10,Drummer Road,Pauline,Black,11,Daughter,NA,Female,Student,None,NA
11,Drummer Road,Jamie,Jones,72,Head,Widowed,Male,"Retired Editor, commissioning",None,None
1,Institution Overpass,Lynn,Allen,50,Head,Divorced,Female,Tour manager,None,None
1,Institution Overpass,Marcus,Allen,10,Son,NA,Male,Student,None,NA
2,Institution Overpass,Rosie,Gardner,45,Head,Single,Female,"Research officer, political party",None,None
2,Institution Overpass,Rhys,Gardner,8,Son,NA,Male,Student,None,NA
3,Institution Overpass,Fiona,Phillips,63,Head,Married,Female,"Exhibitions officer, museum/gallery",None,Catholic
3,Institution Overpass,Abdul,Phillips,65,Husband,Married,Male,Passenger transport manager,None,None
4,Institution Overpass,Ben,Macdonald,64,Head,Married,Male,Customer service manager,None,None
4,Institution Overpass,Lauren,Macdonald,62,Wife,Married,Female,Fine artist,None,None
5,Institution Overpass,Danny,Griffin,42,Head,Single,Male,Event organiser,None,Christian
6,Institution Overpass,Carolyn,Harvey,34,Head,Single,Female,Hospital pharmacist,None,Christian
7,Institution Overpass,Trevor,Stevenson,27,Head,Married,Male,Rural practice surveyor,None,Methodist
7,Institution Overpass,Vanessa,Stevenson,25,Wife,Married,Female,Applications developer,None,Methodist
8,Institution Overpass,Mary,Hargreaves,74,Head,Divorced,Female,Retired Energy engineer,None,Christian
8,Institution Overpass,Brett,Hargreaves,47,Adopted Son,Single,Male,Tour manager,None,None
9,Institution Overpass,Paul,Hartley,75,Head,Widowed,Male,Retired Software engineer,None,Christian
10,Institution Overpass,Georgia,Brown,105,Head,Married,Female,Retired Recycling officer,None,Christian
10,Institution Overpass,Rhys,Brown,107,Husband,Married,Male,"Retired Teacher, English as a foreign language",None,None
11,Institution Overpass,June,Blake,24,Head,Single,Female,Dancer,None,None
12,Institution Overpass,Sharon,Scott,40,Head,Single,Female,Rural practice surveyor,None,None
13,Institution Overpass,Christian,Atkinson,21,Head,Single,Male,University Student,None,Christian
14,Institution Overpass,Carly,Robinson,84,Head,Widowed,Female,Retired Lawyer,None,Catholic
15,Institution Overpass,Janice,Hutchinson,71,Head,Divorced,Female,"Retired Surveyor, land/geomatics",None,Christian
16,Institution Overpass,Jodie,Jones,44,Head,Married,Female,Land,None,Christian
16,Institution Overpass,Geoffrey,Jones,45,Husband,Married,Male,"Geneticist, molecular",None,None
16,Institution Overpass,Philip,Jones,13,Son,NA,Male,Student,None,NA
17,Institution Overpass,Jamie,Fry,43,Head,Single,Male,Theatre stage manager,None,Christian
17,Institution Overpass,Michelle,Jones,46,Partner,Single,Female,Site engineer,Unknown Infection,None
18,Institution Overpass,Tracy,Fletcher,28,Head,Single,female,Camera operator,None,Catholic
18,Institution Overpass,Eric,Baxter,28,Partner,Single,Male,Interpreter,None,Catholic
19,Institution Overpass,Linda,Hughes,52,Head,Single,Female,Statistician,None,Christian
20,Institution Overpass,Wendy,Smith,36,Head,Married,Female,Unemployed,None,Catholic
20,Institution Overpass,Victor,Smith,36,Husband,Married,Male,Local government officer,None,None
20,Institution Overpass,Geraldine,Smith,1,Daughter,NA,Female,Child,None,NA
1,King Road,Josephine,Hancock,26,Head,Divorced,Female,Nature conservation officer,None,Muslim
1,King Road,Kathleen,Hancock,7,Neice,NA,Female,Student,None,NA
2,King Road,Danny,Clark,76,Head,Widowed,Male,Retired Outdoor activities/education manager,None,Catholic
3,King Road,Benjamin,Mann,81,Head,Married,Male,Retired Private music teacher,None,None
3,King Road,Katie,Mann,79,Wife,Married,Female,Retired Sports development officer,None,None
4,King Road,James,Garner,36,Head,Married,Male,"Producer, television/film/video",None,None
4,King Road,Pauline,Garner,34,Wife,Married,Female,Market researcher,None,None
5,King Road,Amber,Ellis,69,Head,Married,Female,Retired Petroleum engineer,None,Christian
5,King Road,Reece,Ellis,77,Husband,Married,Male,"Retired Editor, film/video",None,Christian
6,King Road,Elliot,Miller,34,Head,Single,Male,Secondary school teacher,None,None
6,King Road,Ricky,Morris,17,Step-Son,NA,Male,Student,None,NA
7,King Road,Kate,Collins,23,Head,Single,Female,Unemployed,None,Catholic
7,King Road,Maurice,Collins,6,Son,NA,Male,Student,None,NA
8,King Road,Diana,Jenkins,53,Head,Single,Female,Unemployed,None,None
8,King Road,Leon,Jenkins-Wood,52,Partner,Single,Male,Graphic designer,None,None
8,King Road,Susan,Jenkins-Wood,27,Daughter,Divorced,Female,Speech and language therapist,None,None
8,King Road,Philip,Jenkins-Wood,27,Son,Divorced,Male,Tax adviser,None,None
8,King Road,Susan,Jenkins-Wood,10,Daughter,NA,Female,Student,None,NA
9,King Road,Lauren,Fox,42,Head,Married,female,Estate manager/land agent,None,None
9,King Road,Bryan,Fox,50,Husband,Married,Male,Multimedia specialist,None,None
9,King Road,Christine,Fox,12,Daughter,NA,Female,Student,None,NA
9,King Road,Danielle,Fox,8,Daughter,NA,Female,Student,None,NA
10,King Road,Patricia,Potts,48,Head,Single,Female,Higher education lecturer,None,Catholic
10,King Road,Nigel,Bond,52,Partner,Single,Male,"Scientist, physiological",None,Catholic
10,King Road,Tracey,Potts,12,Daughter,NA,Female,Student,None,NA
11,King Road,Ashley,McCarthy,39,Head,Single,Male,Unemployed,Mental Disability,Catholic
12,King Road,Lucy,Gregory,35,Head,Single,Female,Training and development officer,None,Christian
12,King Road,Bernard,Gregory,17,Son,NA,Male,Student,None,NA
13,King Road,Stewart,Hughes,71,Head,Widowed,Male,Unemployed,None,Christian
14,King Road,Julia,Lee,50,Head,Married,Female,Unemployed,None,Christian
14,King Road,Stanley,Lee,51,Husband,Married,Male,"Geologist, engineering",None,None
14,King Road,Georgia,Lee,30,Daughter,Single,Female,Data processing manager,None,Christian
14,King Road,Thomas,Lee,26,Son,Single,Male,"Teacher, English as a foreign language",None,Christian
15,King Road,Lydia,Campbell,49,Head,Married,Female,Claims inspector/assessor,None,None
15,King Road,Duncan,Campbell,51,Husband,Married,Male,Theatre manager,None,None
15,King Road,Michelle,Campbell,27,Daughter,Single,Female,Sports development officer,None,None
15,King Road,Melanie,Campbell,16,Daughter,NA,Female,Student,None,NA
16,King Road,Nicole,Harris,37,Head,Single,Female,Unemployed,None,Christian
16,King Road,Carl,Harris,16,Son,NA,Male,Student,None,NA
17,King Road,Kim,Bentley,29,Head,Married,Female,Energy engineer,None,Christian
17,King Road,Damian,Bentley,29,Husband,Married,Male,Interior and spatial designer,None,Christian
17,King Road,Victor,Bentley,9,Son,NA,Male,Student,None,NA
17,King Road,Teresa,Bentley,6,Daughter,NA,Female,Student,None,NA
17,King Road,Sian,Bentley,1,Daughter,NA,Female,Child,None,NA
18,King Road,Jenna,Miller,64,Head,Married,Female,Unemployed,None,Christian
18,King Road,Joe,Miller,66,Husband,Married,Male,"Designer, interior/spatial",None,Christian
18,King Road,June,Miller,30,Daughter,Single,Female,Higher education careers adviser,None,Christian
18,King Road,Anne,Miller,26,Daughter,Divorced,Female,"Education officer, environmental",None,Christian
18,King Road,Rhys,Miller,24,Son,Single,Male,Analytical chemist,None,Christian
18,King Road,Howard,Miller,14,Son,NA,Male,Student,None,NA
19,King Road,Rosemary,Young,51,Head,Married,Female,"Engineer, broadcasting (operations)",None,None
19,King Road,Ronald,Young,54,Husband,Married,Male,"Designer, interior/spatial",None,None
19,King Road,Paul,Young,21,Son,Divorced,Male,University Student,None,None
19,King Road,Lisa,Cooper,20,Daughter,Single,Female,University Student,None,None
19,King Road,Georgina,Cooper,16,Daughter,NA,Female,Student,None,NA
20,King Road,Louise,Gray,40,Head,Divorced,Female,"Engineer, technical sales",None,None
20,King Road,Eleanor,Gray,7,Daughter,NA,Female,Student,None,NA
20,King Road,Rebecca,Gray,6,Daughter,NA,Female,Student,None,NA
20,King Road,Phillip,Thomas,58,Lodger,Divorced,Male,Publishing rights manager,None,Christian
20,King Road,Harry,Wright,55,Lodger,Single,Male,Unemployed,None,None
20,King Road,Joanna,Dunn,28,Sibling,Single,Female,"Surveyor, insurance",None,Catholic
21,King Road,Laura,Warner,33,Head,Single,Female,"Surveyor, rural practice",None,Christian
21,King Road,Hugh,Warner,7,Son,NA,Male,Student,None,NA
22,King Road,Janice,French,32,Head,Single,Female,Farm manager,None,Catholic
22,King Road,Hugh,Hughes,40,Partner,Single,Male,"Biochemist, clinical",None,Catholic
23,King Road,Mark,Holmes,71,Head,Divorced,Male,Retired Radio broadcast assistant,None,Christian
24,King Road,Raymond,Jones,45,Head,Divorced,Male,Financial planner,None,Catholic
24,King Road,Gavin,Jones,17,Step-Son,NA,Male,Student,None,NA
24,King Road,Diana,Jones,15,Step-Daughter,NA,Female,Student,None,NA
24,King Road,Marilyn,Jones,11,Step-Daughter,NA,Female,Student,None,NA
25,King Road,Sally,Scott,66,Head,Divorced,Female,Race relations officer,None,Christian
26,King Road,Max,Ryan,60,Head,Single,Male,Garment/textile technologist,None,None
26,King Road,Yvonne,Turner,56,Partner,Single,Female,"Surveyor, planning and development",None,None
27,King Road,Jessica,Simpson,87,Head,Married,Female,Unemployed,None,Methodist
27,King Road,Phillip,Simpson,94,Husband,Married,male,Retired Chiropractor,None,Methodist
28,King Road,Julian,Morris,70,Head,Married,Male,Retired Chartered certified accountant,None,None
28,King Road,Maureen,Morris,67,Wife,Married,Female,Chartered accountant,None,None
29,King Road,Suzanne,Blake,45,Head,Single,Female,Probation officer,None,Christian
30,King Road,Rhys,Gordon,26,Head,Single,Male,Accommodation manager,None,None
30,King Road,Amy,Williams,21,Partner,Single,Female,Unemployed,None,None
31,King Road,Sara,Jennings,64,Head,D,Female,Agricultural consultant,None,None
31,King Road,Owen,Jennings,15,Grandson,NA,Male,Student,None,NA
32,King Road,Joan,Edwards,44,Head,Married,Female,Best boy,None,Christian
32,King Road,David,Edwards,45,Husband,Married,Male,Trade mark attorney,None,Christian
32,King Road,Stephanie,Edwards,9,Daughter,NA,Female,Student,None,NA
33,King Road,Georgia,Price,76,Head,Single,Female,"Retired Pharmacist, community",None,Christian
34,King Road,Linda,Morley,74,Head,Married,Female,"Retired Research officer, trade union",None,Catholic
34,King Road,Brett,Morley,78,Husband,Married,Male,Retired Data scientist,None,Catholic
35,King Road,Vanessa,Jackson-Smith,66,Head,Widowed,Female,Publishing copy,None,None
35,King Road,Elliott,Jackson-Smith,36,Son,Single,Male,Restaurant manager,None,None
35,King Road,Rachael,Jackson-Smith,35,Daughter,Single,Female,Dramatherapist,None,None
35,King Road,Dawn,Jackson-Smith,31,Daughter,Divorced,Female,"Programme researcher, broadcasting/film/video",None,None
36,King Road,Craig,Cooper,42,Head,Single,Male,Hydrogeologist,None,Christian
36,King Road,Naomi,Jones,40,Partner,Single,Female,"Education officer, community",Physical Disability,Christian
37,King Road,Jenna,Young,48,Head,Single,Female,Special effects artist,None,Catholic
38,King Road,Fiona,Davies,52,Head,Single,Female,Public relations officer,None,Christian
38,King Road,Andrew,Davies,31,Son,Single,Male,Geophysical data processor,None,None
38,King Road,Benjamin,Davies,28,Son,Single,m,Architectural technologist,None,None
39,King Road,Bradley,Cross,83,Head,Divorced,Male,"Retired Administrator, charities/voluntary organisations",None,None
40,King Road,Rosemary,Bell,36,Head,Single,Female,Intelligence analyst,None,Catholic
40,King Road,Tracy,Bell,9,Daughter,NA,Female,Student,None,NA
41,King Road,Joanne,Powell,58,Head,Married,Female,Advertising art director,None,Christian
41,King Road,Gerald,Powell,64,Husband,Married,Male,Licensed conveyancer,None,Christian
41,King Road,Harriet,Powell,17,Daughter,NA,Female,Student,None,NA
41,King Road,Natasha,Powell,17,Daughter,NA,Female,Student,None,NA
41,King Road,Aaron,Powell,14,Son,NA,Male,Student,None,NA
42,King Road,Francesca,Jackson,28,Head,Single,Female,Psychiatric nurse,None,Christian
42,King Road,Emma,Edwards,36,None,Single,Female,Technical brewer,None,None
42,King Road,Jason,Anderson,53,None,Single,M,"Doctor, general practice",None,Christian
42,King Road,Jacqueline,Power,58,None,Single,Female,Intelligence analyst,None,Christian
43,King Road,Martin,Richards,86,Head,Divorced,Male,Retired Retail manager,None,Christian
44,King Road,Bethany,Clark,66,Head,Married,Female,Fish farm manager,None,None
44,King Road,Luke,Clark,68,Husband,Married,Male,Retired Hydrologist,None,None
45,King Road,Rosemary,Evans,41,Head,Widowed,Female,Interpreter,None,Christian
45,King Road,Clive,Evans,3,Son,NA,Male,Child,None,NA
46,King Road,Beth,Payne,81,Head,Divorced,Female,"Retired Lecturer, further education",None,None
46,King Road,Adam,Rowe,12,Grandson,NA,Male,Student,None,NA
47,King Road,Ann,Williams,56,Head,Married,Female,Quality manager,None,Catholic
47,King Road,Roy,Williams,59,Husband,Married,Male,Neurosurgeon,None,Catholic
47,King Road,Gregory,Williams,22,Son,Single,Male,University Student,None,Catholic
47,King Road,Richard,Williams,17,Son,NA,Male,Student,None,NA
47,King Road,Ruth,Williams,15,Daughter,NA,Female,Student,None,NA
48,King Road,Karen,Williams,78,Head,Widowed,Female,Retired Estate agent,None,Christian
49,King Road,Abbie,Rhodes,26,Head,Divorced,Female,Unemployed,None,Methodist
49,King Road,Max,Rhodes,0,Son,NA,Male,Child,None,NA
50,King Road,Damien,Glover,38,Head,Married,Male,Musician,None,None
50,King Road,Mary,Glover,36,Wife,Married,Female,Personal assistant,None,None
50,King Road,Ruth,Glover,16,Daughter,NA,Female,Student,None,NA
